You have not set a default billing address.,No se ha establecido ningún domicilio de facturación por defecto
Month,Mes
Year,Año
Please verify the Billing Address in your Address Book before adding new card!,Por favor verifique el Domicio de Facturación en su Agenda de Domicilios antes de agregar una nueva tarjeta!
Important Disclaimer!,¡Aviso Importante!
Default Billing Address,Domicilio de Facturación por defecto
Card Information,Información de la Tarjeta
Credit Card Type,Tipo de Tarjeta de Crédito
Card type,Tipo de Tarjeta
Card Holder Name,Nombre del Titular de la Tarjeta
Card Number,Número de Tarjeta
Expiry Month/Year,Mes/Año de Vencimiento
Card Brand #,Marca de la Tarjeta
Card Expiry Month,Mes de Vencimiento de la Tarjeta
Card Expiry Year,Año de Vencimiento de la Tarjeta
CVV,Código de Seguridad
Save,Guardar
"Please, Enter 3 digit valid Card Verification Number","Por favor, ingrese el Código de Seguridad de 3 dígitos válido"
"Please, Enter 4 digit valid Card Verification Number","Por favor, ingrese el Código de Seguridad de 4 dígitos válido"
Please enter a valid number in this field,"Por favor, ingrese un número válido en este campo"
Card number entered does not match with card type selected,El número de tarjeta ingresado no corresponde con el tipo de tarjeta seleccionada
This field is required,Este campo es obligatorio
"Please, Verify the disclaimer! before saving",Por favor revise este ¡Aviso! antes de guardar
Disclaimer!,¡Aviso!
Agree,De acuerdo
Disagree,No estoy de acuerdo
"<strong>Purpose of transaction</strong> will reflect on your statement, only if it is supported by the selected payment method.","<strong>El motivo de la transacción</strong> se verá reflejado en su resumen de cuenta, sólo si es soportado por el método de pago seleccionado."
<strong>Purpose of transaction</strong> will be validated by the payment method before processing.,<strong>El motivo de la transacción</strong> será validado por método de pago antes de ser procesado.
Please adhere to the <strong>Statement Narrative</strong> guidelines of the selected payment method before entering the <strong>Purpose of transaction.</strong>,Por favor siga las instrucciones del <strong>Texto del Resumen de Cuenta</strong> del método de pago seleccionado antes de ingresar el <strong>Motivo de la transacción.</strong>
"US/UK - ","US/UK - "
You need to make the payment within 30 days for the selected billing country.,Necesitas realizar el pago dentro de los siguientes 30 días para el país de facturación seleccionado.
"ALL Other Europe - ","En el resto de Europa - "
You need to make the payment within 14 days for the selected billing country.,Necesitas realizar el pago dentro de los siguientes 14 días para el país de facturación seleccionado.
Place Order,Enviar Orden
Instalment,Cuotas
What is this?,Qué es esto?
Card Verification Number,Código de Verificación de la Tarjeta
Purpose of transaction,Motivo de la transacción
CPF/CNPJ,ID Fiscal para Brasil
Payment Methods,Métodos de Pago
Other Payment Methods,Otros Métodos de Pago
Enter discount code,Ingrese código de descuento
Apply Discount,Aplicar descuento
Cancel,Cancelar
"Please select a region, state or province.","Por favor seleccione una región, provincia o estado"
Country,País
Payment Method,Método de Pago
Expired,Vencido
Expiring this month,Vence este mes
Change Payment Method,Cambiar Método de Pago
Add New Card,Agregar Nueva Tarjeta
Please select shipping method,Por favor seleccione un método de envío
Complete payment,Finalice el pago
The payment request is cancelled by user,El pago fue cancelado por el usuario
Qty,Cantidad
Place Order with GooglePay,Enviar Orden con GooglePay
Place Order with ApplePay,Enviar Orden con ApplePay
All transactions are secure and encrypted...,Todas las transacciones son seguras y cifradas...
Please choose a payment method.,Por favor seleccione un método de pago.
We can't complete your order because you don't have a payment method set up.,No podemos completar su orden porque no ha configurado un método de pago.
Close,Cerrar
Add New Address,Agregar Nueva Dirección
Change Shipping Address,Cambiar Dirección de Envío.
Delete,Eliminar
Update,Actualizar
Actions,Acciones
"Are you sure you want to delete the card? <br>Once the card is deleted, subscriptions associated with it will be cancelled","¿Está seguro de que desea eliminar la tarjeta? <br>Una vez que la tarjeta haya sido eliminada, las suscripciones asociadas a ella serán canceladas."
You have no Saved Card.,No ha guardado ninguna tarjeta.
Add to Cart,Agregar al carrito
My Cart,Mi Carrito
Checkout Now,Hacer Pago
Your order number is:,Su número de orden es:
An email has been sent to your email id with the payment link. Please do the payment.,Se ha enviado un mensaje a su dirección de correo con una liga para realizar el pago. Por favor haga el pago.
Continue Shopping,Continuar Comprando
Thank you for your purchase!,¡Gracias por su compra!
Your payment has been successfully regarding the order #: <span>%1</span>.,Su pago fue exitoso para la orden #: <span>%1</span>.
You can check your order details after loggedin: ,Puede revisar los detalles de su orden después de iniciar sesión:
We'll email you an order confirmation with details and tracking info.,Le enviaremos un correo con la confirmación de su orden y los detalles para rastrearla.
Click here,Clic aquí
Shipping Address,Dirección de envío
Billing Address,Dirección de facturación
Shipping Method,Metodo de envío
