You have not set a default billing address.,Você não definiu um endereço de cobrança padrão.
Month,Mês
Year,Ano
Please verify the Billing Address in your Address Book before adding new card!,"Por favor, verifique o endereço de cobrança em seu catálogo de endereços antes de adicionar um novo cartão!"
Important Disclaimer!,Aviso importante!
Default Billing Address,Endereço de cobrança padrão
Card Information,Informações do cartão
Credit Card Type,Tipo de cartão de crédito
Card type,Tipo de cartão
Card Holder Name,Nome do titular do cartão
Card Number,Número do cartão
Expiry Month/Year,Mês/Ano de expiração
Card Brand #,Bandeira do cartão
Card Expiry Month,Mês de validade do cartão
Card Expiry Year,Ano de validade do cartão
CVV,CVV
Save,Salvar
"Please, Enter 3 digit valid Card Verification Number","Por favor, digite o número de verificação do cartão válido de 3 dígitos"
"Please, Enter 4 digit valid Card Verification Number","Por favor, digite o número de verificação do cartão válido de 4 dígitos"
Please enter a valid number in this field,"Por favor, digite um número válido neste campo"
Card number entered does not match with card type selected,O número do cartão inserido não corresponde ao tipo de cartão selecionado
This field is required,Este campo é obrigatório
"Please, Verify the disclaimer! before saving",Verifique o termo  de responsabilidade! antes de salvar
Disclaimer!,Termo de responsabilidade!
Agree,Concordo
Disagree,Não concordo
"<strong>Purpose of transaction</strong> will reflect on your statement, only if it is supported by the selected payment method.",<strong>A finalidade da transação</strong> será refletida em seu extrato somente se for compatível com a forma de pagamento selecionada.
<strong>Purpose of transaction</strong> will be validated by the payment method before processing.,<strong>A finalidade da transação</strong> será validada pela forma de pagamento antes do processamento.
Please adhere to the <strong>Statement Narrative</strong> guidelines of the selected payment method before entering the <strong>Purpose of transaction.</strong>,Por favor siga as instruções do <strong>Resumo da conta</strong> da forma de pagamento selecionada antes de inserir a <strong>finalidade da transação.</strong>
"US/UK - ","US/UK - "
You need to make the payment within 30 days for the selected billing country.,Você precisa efetuar o pagamento dentro de 30 dias para o país de cobrança selecionado.
"ALL Other Europe - ","TODOS os outros países da Europa - "
You need to make the payment within 14 days for the selected billing country.,Você precisa efetuar o pagamento em até 14 dias para o país de cobrança selecionado.
Place Order,Fazer pedido
Instalment,Parcelamento
What is this?,O que é isso?
Card Verification Number,Número de verificação do cartão
Purpose of transaction,Objetivo da transação
CPF/CNPJ,CPF/CNPJ
Payment Methods,Formas de pagamento
Other Payment Methods,Outras formas de pagamento
Enter discount code,Inserir código de desconto
Apply Discount,Aplicar desconto
Cancel,Cancelar
"Please select a region, state or province.","Selecione uma região, estado ou província."
Country,País
Payment Method,Forma de pagamento
Expired,Vencido
Expiring this month,Vence este mês
Change Payment Method,Alterar forma de pagamento
Add New Card,Adicionar novo cartão
Please select shipping method,Selecione o método de envio
Complete payment,Concluir pagamento
The payment request is cancelled by user,A solicitação de pagamento foi cancelada pelo usuário
Qty,Quantidade
Place Order with GooglePay,Fazer pedido com o GooglePay
Place Order with ApplePay,Fazer pedido com o ApplePay
All transactions are secure and encrypted...,Todas as transações são seguras e criptografadas...
Please choose a payment method.,Escolha uma forma de pagamento.
We can't complete your order because you don't have a payment method set up.,Não é possível concluir seu pedido porque você não tem uma forma de pagamento configurada.
Close,Fechar
Add New Address,Adicionar novo endereço
Change Shipping Address,Alterar endereço de entrega
Delete,Excluir
Update,Atualizar
Actions,Ações
"Are you sure you want to delete the card? <br>Once the card is deleted, subscriptions associated with it will be cancelled","Tem certeza de que deseja excluir o cartão? <br>Quando o cartão for excluído, as assinaturas associadas a ele serão canceladas"
You have no Saved Card.,Você não tem nenhum cartão salvo.
Add to Cart,Adicionar ao carrinho
My Cart,Meu carrinho
Checkout Now,Finalizar compra agora
Your order number is:,Seu número de pedido é:
An email has been sent to your email id with the payment link. Please do the payment.,"Um e-mail foi enviado para sua identidade de e-mail com o link de pagamento. Por favor, efetue o pagamento."
Continue Shopping,Continuar comprando
Thank you for your purchase!,Obrigado por sua compra!
Your payment has been successfully regarding the order #: <span>%1</span>.,"Seu pagamento foi efetuado com sucesso, número do pedido: <span>%1</span>."
You can check your order details after loggedin: ,Você pode verificar os detalhes do seu pedido depois de fazer o login:
We'll email you an order confirmation with details and tracking info.,Enviaremos a você um e-mail de confirmação do pedido com detalhes e informações de rastreamento.
Click here,Clique aqui
Shipping Address,Endereço para envio
Billing Address,Endereço de cobrança
Shipping Method,Método de envio
Please accept all Terms & Conditions,Favor aceitar todos os Termos e Condições
Subtotal,Subtotal
Grand Total:,Total geral:
Go to Review Your Order,Ir para revisar seu pedido
Back to Shipping Information,Voltar às informações de envio
Change,Alterar
Shipping Information,Informações de envio
Address of,Endereço de
Shipping To,Envio para
Edit,Editar
Order Review,Revisão do pedido
Price Info,Informações sobre preço
Other items in your order,Outros itens em seu pedido
Subscription Addresses,Endereços de assinatura
No shipping information available,Não há informações de envio disponíveis
Your Saved Card,Seu cartão salvo
Original Order #,Número do Pedido original
Original Order Date,Data do pedido original
Product,Produto
Interval,Intervalo
Start Date,Data de início
End Date,Data final
Amount,Valor
Status,Status
Upcoming Delivery,Próximas entregas
Subscriptions,Assinaturas
Order Id#,Número do pedido
Subscription Item,Item de assinatura
Plan,Plano
Sheduled At,Programado em
N/A,N/A
Skipped,Ignorado
created_at,created_at
You have not any skipped reccurring order.,Você não tem nenhum pedido recorrente omitido.
Cancelled,Cancelado
View,Exibir
You have not any reccurring order yet.,Você ainda não tem nenhum pedido recorrente.
Saved Cards,Cartões salvos
Your order # is: ,Seu pedido # é:
We\'ll email you an order confirmation with details and tracking info.,Enviaremos um e-mail de confirmação do pedido com detalhes e informações de rastreamento.
Please note this order is still awaiting confirmation of the funds transfer.,Observe que este pedido ainda está aguardando a confirmação da transferência de fundos.
Successfully ordered,Pedido realizado com sucesso
No shipping required.,Não é necessário envio.
Ship to:,Enviar para:
Something went wrong while processing your order. Please try again later.,Algo deu errado ao processar seu pedido. Tente novamente mais tarde.
Order Cancelled,Pedido cancelado
Order # Cancelled,Pedido # cancelado
Order # Failed,Pedido # falhou
Required length should be 8 or 9,O comprimento necessário deve ser 8 ou 9
Maximum allowed length of 15 exceeded,O comprimento máximo permitido de 15 foi excedido
Maximum allowed length of 17 exceeded,O comprimento máximo permitido de 17 foi excedido
Maximum allowed length of 40 exceeded,O comprimento máximo permitido de 40 foi excedido
Card number entered does not match with card type selected,O número do cartão inserido não corresponde ao tipo de cartão selecionado
Items in Cart,Itens no carrinho
Item in Cart,Item no carrinho
Proceed to Checkout,Prosseguir para o checkout
Instant Purchase,Compra instantânea
Instant Purchase Confirmation,Confirmação de compra instantânea
Are you sure you want to place order and pay?,Tem certeza de que deseja fazer o pedido e pagar?
